"Timestamp","First language","Second language","Third language"
"2017/10/23 11:31:07 AM GMT+2","Perl","Bash","PHP"
"2017/10/23 11:35:00 AM GMT+2","Perl","JavaScript","C"
"2017/10/23 11:37:18 AM GMT+2","Perl","Bash","PHP"
"2017/10/23 11:38:47 AM GMT+2","Python","Go","Perl"
"2017/10/23 11:43:25 AM GMT+2","Perl","Bash","JavaScript"
"2017/10/23 11:45:45 AM GMT+2","Bash","Perl","C"
"2017/10/23 11:56:55 AM GMT+2","Perl","JavaScript","Bash"
"2017/10/23 12:02:23 PM GMT+2","C","C++","Java"
"2017/10/23 12:07:12 PM GMT+2","Scala","Perl","Bash"
"2017/10/23 12:10:17 PM GMT+2","Perl","C","C#"
"2017/10/23 12:32:37 PM GMT+2","C++","Perl","C"
"2017/10/23 12:32:45 PM GMT+2","Python","C++","Perl"
"2017/10/23 12:35:03 PM GMT+2","Bash","Perl","Go"
"2017/10/23 12:40:10 PM GMT+2","Perl","C++","Python"
"2017/10/23 12:42:37 PM GMT+2","Perl","JavaScript","Python"
"2017/10/23 12:43:08 PM GMT+2","Perl","C++","Python"
"2017/10/23 12:46:42 PM GMT+2","Perl","Bash","Python"
"2017/10/23 1:07:17 PM GMT+2","C","Perl","Bash"
"2017/10/23 1:09:48 PM GMT+2","Perl","C++","Bash"
"2017/10/23 1:21:29 PM GMT+2","Delphi/Pascal","Perl","Java"
"2017/10/23 1:26:34 PM GMT+2","Perl","Python","Bash"
"2017/10/23 1:31:00 PM GMT+2","C++","C#","JavaScript"
"2017/10/23 1:35:09 PM GMT+2","Perl","Swift","PHP"
"2017/10/23 1:35:16 PM GMT+2","Perl","C++","JavaScript"
"2017/10/23 1:40:29 PM GMT+2","Perl","JavaScript","Bash"
"2017/10/23 1:43:54 PM GMT+2","Perl","Bash","C"
"2017/10/23 1:55:40 PM GMT+2","Ruby","Haskell","Zsh"
"2017/10/23 2:04:55 PM GMT+2","Perl","Perl","Perl"
"2017/10/23 2:06:30 PM GMT+2","Perl","C","JavaScript"
"2017/10/23 2:07:22 PM GMT+2","Perl","Bash","JavaScript"
"2017/10/23 2:09:30 PM GMT+2","Perl","C++","Swift"
"2017/10/23 2:14:41 PM GMT+2","Perl","C","Bash"
"2017/10/23 2:26:24 PM GMT+2","Perl","Bash","C"
"2017/10/23 2:29:37 PM GMT+2","JavaScript","Perl","PHP"
"2017/10/23 2:41:17 PM GMT+2","Perl","Scala","C"
"2017/10/23 2:44:55 PM GMT+2","Perl","Java","Objective-C"
"2017/10/23 2:46:31 PM GMT+2","Perl","JavaScript","PHP"
"2017/10/23 2:47:35 PM GMT+2","Perl","Bash","C"
"2017/10/23 2:48:21 PM GMT+2","Perl","JavaScript","C"
"2017/10/23 2:51:33 PM GMT+2","Perl","Bash","C"
"2017/10/23 2:58:03 PM GMT+2","Perl","Bash","C"
"2017/10/23 3:02:40 PM GMT+2","Perl","JavaScript","Python"
"2017/10/23 3:04:39 PM GMT+2","Perl","Bash","C"
"2017/10/23 3:19:22 PM GMT+2","Go","Perl","C"
"2017/10/23 3:26:22 PM GMT+2","Perl","Zsh","C"
"2017/10/23 3:26:32 PM GMT+2","Perl","Python","Bash"
"2017/10/23 3:28:44 PM GMT+2","Perl","C","C#"
"2017/10/23 3:31:00 PM GMT+2","Ruby","Perl","JavaScript"
"2017/10/23 3:31:39 PM GMT+2","Go","Python","Perl"
"2017/10/23 3:35:45 PM GMT+2","Perl","Python","C++"
"2017/10/23 3:44:00 PM GMT+2","Perl","Python","JavaScript"
"2017/10/23 3:45:33 PM GMT+2","Perl","Java","JavaScript"
"2017/10/23 3:58:01 PM GMT+2","Perl","JavaScript","Go"
"2017/10/23 4:00:12 PM GMT+2","Perl","JavaScript","Python"
"2017/10/23 4:09:31 PM GMT+2","Perl 5","Java","C++"
"2017/10/23 4:26:57 PM GMT+2","Perl 5","Swift","Bash"
"2017/10/23 4:34:18 PM GMT+2","Perl 5","JavaScript","Go"
"2017/10/23 4:37:41 PM GMT+2","Perl 5","C++","Ruby"
"2017/10/23 4:45:46 PM GMT+2","Perl 5","Python","PHP"
"2017/10/23 4:51:35 PM GMT+2","Perl 5","Python","Go"
"2017/10/23 4:53:46 PM GMT+2","Perl 5","Swift","C++"
"2017/10/23 5:03:16 PM GMT+2","Perl 5","Java","Rust"
"2017/10/23 5:05:17 PM GMT+2","Perl 5","PHP","JavaScript"
"2017/10/23 5:23:15 PM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/23 5:26:49 PM GMT+2","C","Perl 5","Bash"
"2017/10/23 5:29:08 PM GMT+2","Perl 5","JavaScript","Perl 6"
"2017/10/23 5:29:40 PM GMT+2","Perl 5","C","Bash"
"2017/10/23 5:32:36 PM GMT+2","Perl 5","Perl 5","Perl 5"
"2017/10/23 5:40:27 PM GMT+2","Perl 5","C","Bash"
"2017/10/23 5:52:32 PM GMT+2","Perl 5","Bash","JavaScript"
"2017/10/23 6:01:51 PM GMT+2","Perl 5","C","Java"
"2017/10/23 6:04:43 PM GMT+2","Bash","Bash","Bash"
"2017/10/23 6:04:47 PM GMT+2","Bash","Bash","Bash"
"2017/10/23 6:08:05 PM GMT+2","Perl 5","C","PHP"
"2017/10/23 6:11:31 PM GMT+2","Perl 5","JavaScript","Python"
"2017/10/23 6:22:03 PM GMT+2","Perl 5","Java","JavaScript"
"2017/10/23 6:26:15 PM GMT+2","Perl 5","C++","JavaScript"
"2017/10/23 6:35:49 PM GMT+2","Python","Bash","Perl 5"
"2017/10/23 6:38:30 PM GMT+2","Python","JavaScript","Perl 5"
"2017/10/23 6:57:42 PM GMT+2","Ruby","Perl 5","Rust"
"2017/10/23 7:29:48 PM GMT+2","C++","Python","Java"
"2017/10/23 8:02:26 PM GMT+2","Perl 5","Python","Go"
"2017/10/23 8:11:51 PM GMT+2","C++","Perl 5","Bash"
"2017/10/23 8:20:32 PM GMT+2","Bash","Perl 5","JavaScript"
"2017/10/23 8:27:27 PM GMT+2","Perl 5","JavaScript","PHP"
"2017/10/23 8:29:34 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/23 9:02:11 PM GMT+2","Perl 5","C","Bash"
"2017/10/23 9:02:58 PM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/23 9:39:50 PM GMT+2","Scala","Perl 5","Bash"
"2017/10/23 9:59:03 PM GMT+2","Perl 5","C","Ruby"
"2017/10/23 10:22:04 PM GMT+2","Rust","Perl 6","JavaScript"
"2017/10/23 10:32:13 PM GMT+2","C","Perl 6","JavaScript"
"2017/10/23 10:32:17 PM GMT+2","Perl 5","C","Java"
"2017/10/23 10:39:08 PM GMT+2","Python","Perl 5","Perl 6"
"2017/10/23 11:27:58 PM GMT+2","Perl 5","Bash","Perl 6"
"2017/10/23 11:29:36 PM GMT+2","Bash","Perl 5","JavaScript"
"2017/10/23 11:36:16 PM GMT+2","C","Bash","JavaScript"
"2017/10/23 11:36:39 PM GMT+2","JavaScript","Perl 5","Python"
"2017/10/24 12:27:55 AM GMT+2","Bash","Perl 5","C"
"2017/10/24 1:46:54 AM GMT+2","Perl 5","Bash","Python"
"2017/10/24 2:17:36 AM GMT+2","Perl 5","Lua","C"
"2017/10/24 2:38:03 AM GMT+2","Perl 5","C#","C"
"2017/10/24 2:44:17 AM GMT+2","Perl 5","Python","Bash"
"2017/10/24 2:45:57 AM GMT+2","Perl 5","Bash","Go"
"2017/10/24 3:46:06 AM GMT+2","Perl 5","Bash","C"
"2017/10/24 5:18:48 AM GMT+2","Perl 5","C#","Python"
"2017/10/24 5:59:07 AM GMT+2","Perl 5","Java","JavaScript"
"2017/10/24 7:14:36 AM GMT+2","Python","JavaScript","Perl 5"
"2017/10/24 8:33:03 AM GMT+2","Python","Ruby","Perl 6"
"2017/10/24 8:51:11 AM GMT+2","JavaScript","Go","Python"
"2017/10/24 9:29:21 AM GMT+2","Perl 5","JavaScript","PHP"
"2017/10/24 9:36:18 AM GMT+2","Python","Bash","JavaScript"
"2017/10/24 9:43:40 AM GMT+2","Perl 5","Perl 5","Perl 5"
"2017/10/24 10:06:04 AM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/24 10:09:47 AM GMT+2","Perl 5","Python","JavaScript"
"2017/10/24 10:15:03 AM GMT+2","Perl 5","JavaScript","PHP"
"2017/10/24 10:49:27 AM GMT+2","Perl 5","JavaScript","PHP"
"2017/10/24 11:01:21 AM GMT+2","Java","Python","Perl 5"
"2017/10/24 11:17:52 AM GMT+2","C++","Perl 5","Bash"
"2017/10/24 11:30:01 AM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/24 11:39:12 AM GMT+2","Perl 5","Python","Bash"
"2017/10/24 11:43:58 AM GMT+2","Perl 5","Go","C"
"2017/10/24 11:47:20 AM GMT+2","C","Python","Bash"
"2017/10/24 11:57:24 AM GMT+2","Perl 5","Bash","Swift"
"2017/10/24 12:18:19 PM GMT+2","Perl 5","PHP","Java"
"2017/10/24 1:37:57 PM GMT+2","Python","Java","Bash"
"2017/10/24 2:28:42 PM GMT+2","Haskell","Elixir","Scala"
"2017/10/24 2:38:49 PM GMT+2","C#","Python","JavaScript"
"2017/10/24 3:24:32 PM GMT+2","C","Python","JavaScript"
"2017/10/24 4:31:57 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/24 4:32:18 PM GMT+2","Python","Zsh","Perl 5"
"2017/10/24 4:34:05 PM GMT+2","Perl 5","C","Python"
"2017/10/24 4:40:00 PM GMT+2","Perl 5","C#","Java"
"2017/10/24 5:11:31 PM GMT+2","Haskell","JavaScript","Scala"
"2017/10/24 5:22:34 PM GMT+2","Perl 5","Objective-C","Zsh"
"2017/10/24 5:35:29 PM GMT+2","C","Java","C++"
"2017/10/24 5:42:41 PM GMT+2","Bash","Perl 5","Python"
"2017/10/24 6:13:16 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/24 6:34:44 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/24 7:05:32 PM GMT+2","Perl 5","Python","Bash"
"2017/10/24 7:11:53 PM GMT+2","Perl 5","C","Lua"
"2017/10/24 7:37:22 PM GMT+2","JavaScript","Bash","Perl 5"
"2017/10/24 7:38:41 PM GMT+2","Perl 5","Perl 6","C"
"2017/10/24 7:58:10 PM GMT+2","Perl 5","Python","Go"
"2017/10/24 9:12:40 PM GMT+2","Perl 5","Python","Perl 5"
"2017/10/24 9:21:40 PM GMT+2","Python","C++","Bash"
"2017/10/24 9:26:21 PM GMT+2","Python","Bash","C++"
"2017/10/24 9:32:13 PM GMT+2","Perl 5","JavaScript","C++"
"2017/10/24 9:33:41 PM GMT+2","JavaScript","Python","Perl 5"
"2017/10/24 9:47:34 PM GMT+2","Perl 5","Lua","Go"
"2017/10/24 10:33:11 PM GMT+2","Go","C++","C#"
"2017/10/24 10:36:08 PM GMT+2","Perl 5","Python","C"
"2017/10/24 10:45:43 PM GMT+2","Bash","Perl 5","Python"
"2017/10/24 11:18:46 PM GMT+2","Perl 5","Python","PHP"
"2017/10/24 11:29:51 PM GMT+2","Perl 5","JavaScript","C++"
"2017/10/25 2:29:56 AM GMT+2","Perl 5","JavaScript","Java"
"2017/10/25 2:57:34 AM GMT+2","Java","Perl 5","Python"
"2017/10/25 3:49:24 AM GMT+2","C++","Perl 5","JavaScript"
"2017/10/25 5:41:03 AM GMT+2","Rust","Ruby","Perl 5"
"2017/10/25 8:02:12 AM GMT+2","Perl 5","C","Haskell"
"2017/10/25 9:22:51 AM GMT+2","JavaScript","Python","Scala"
"2017/10/25 10:03:42 AM GMT+2","C#","Python","Haskell"
"2017/10/25 10:22:24 AM GMT+2","Python","C","Bash"
"2017/10/25 11:21:00 AM GMT+2","Bash","Python","JavaScript"
"2017/10/25 12:56:08 PM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/25 1:19:39 PM GMT+2","Perl 6","Rust","Elixir"
"2017/10/25 1:32:13 PM GMT+2","Perl 5","C","Python"
"2017/10/25 2:22:18 PM GMT+2","Python","JavaScript","C"
"2017/10/25 3:16:30 PM GMT+2","Perl 6","Perl 5","Python"
"2017/10/25 4:49:27 PM GMT+2","Perl 5","PHP","C"
"2017/10/25 5:49:22 PM GMT+2","Perl 5","JavaScript","Python"
"2017/10/25 7:14:30 PM GMT+2","Perl 5","Go","Elixir"
"2017/10/25 7:49:25 PM GMT+2","Perl 5","Bash","C++"
"2017/10/25 7:52:08 PM GMT+2","Perl 5","Go","Bash"
"2017/10/25 8:37:17 PM GMT+2","C#","Python","JavaScript"
"2017/10/25 10:39:14 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/25 11:58:10 PM GMT+2","Perl 5","Bash","JavaScript"
"2017/10/26 12:03:40 AM GMT+2","C","Perl 5","Go"
"2017/10/26 10:21:52 AM GMT+2","Perl 5","JavaScript","Python"
"2017/10/26 10:31:59 AM GMT+2","Perl 5","Bash","Python"
"2017/10/26 12:48:44 PM GMT+2","Perl 5","Python","Bash"
"2017/10/26 12:58:41 PM GMT+2","Python","Perl 5","C++"
"2017/10/26 5:56:25 PM GMT+2","Perl 5","Python","JavaScript"
"2017/10/26 7:06:42 PM GMT+2","Bash","Python","C"
"2017/10/26 7:10:07 PM GMT+2","Python","Bash","C"
"2017/10/26 9:54:56 PM GMT+2","C#","C++","JavaScript"
"2017/10/26 9:59:59 PM GMT+2","JavaScript","Python","C#"
"2017/10/26 10:26:43 PM GMT+2","Perl 5","C++","C"
"2017/10/26 10:28:20 PM GMT+2","Python","Java","Bash"
"2017/10/26 11:04:40 PM GMT+2","Perl 5","Python","PHP"
"2017/10/26 11:05:14 PM GMT+2","Perl 5","Python","PHP"
"2017/10/26 11:57:11 PM GMT+2","Perl 5","Haskell","Go"
"2017/10/27 2:07:10 AM GMT+2","Java","Python","Go"
"2017/10/27 6:08:11 AM GMT+2","C#","JavaScript","C++"
"2017/10/27 9:24:17 AM GMT+2","C#","Perl 5","C++"
"2017/10/27 11:00:18 AM GMT+2","Perl 5","Bash","Python"
"2017/10/27 12:51:35 PM GMT+2","JavaScript","C++","Python"
"2017/10/27 12:53:37 PM GMT+2","C#","JavaScript","Java"
"2017/10/27 1:17:04 PM GMT+2","Java","Python","C"
"2017/10/27 2:00:08 PM GMT+2","C++","Python","Bash"
"2017/10/27 8:44:42 PM GMT+2","Perl 5","JavaScript","Bash"
"2017/10/27 11:18:23 PM GMT+2","Perl 5","C","Bash"
"2017/10/27 11:34:05 PM GMT+2","C++","C","C#"
"2017/10/28 12:16:08 AM GMT+2","Perl 5","Java","C"
"2017/10/28 11:44:35 AM GMT+2","Perl 5","Bash","C"
"2017/10/28 4:19:37 PM GMT+2","Java","JavaScript","Scala"
"2017/10/28 6:03:50 PM GMT+2","Perl 5","JavaScript","C#"
"2017/10/28 6:18:52 PM GMT+2","C++","Java","Erlang"
"2017/10/29 2:21:05 AM GMT+2","Perl 5","Bash","Perl 6"
"2017/10/29 8:49:07 AM GMT+2","Go","Java","Python"
"2017/10/29 9:16:02 AM GMT+2","C#","Python","JavaScript"
"2017/10/29 3:00:27 PM GMT+2","Python","Java","C++"
"2017/10/29 7:23:44 PM GMT+2","C","Ruby","Perl 5"
"2017/10/30 5:06:32 AM GMT+2","Go","Java","JavaScript"